"sAMAccountName","Enabled","created","LastLogonDate","Company","department","homephone"
"126166","False","18/03/2015 17:42:28","20/06/2015 07:18:23",,,
"118349","False","18/03/2015 17:45:17","11/01/2017 20:19:28","F01 - Usina","1112202 - UHT SIG","118349"
"077822","False","18/03/2015 18:02:49","03/08/2015 00:35:31",,,
"126128","False","18/03/2015 18:14:18","31/07/2015 10:37:48",,,
"123286","False","18/03/2015 18:46:04","01/08/2015 05:00:03",,,
"107800","False","18/03/2015 19:09:52","10/05/2016 12:28:43",,,
"121679","False","18/03/2015 19:24:13","01/11/2016 01:40:53",,,
"104585","False","18/03/2015 19:29:29","05/01/2016 02:37:17",,,
"121682","False","18/03/2015 19:39:53","29/10/2016 03:46:01",,,
"128854","False","19/03/2015 10:21:06","03/07/2015 23:21:02",,,
"128858","False","19/03/2015 10:23:08","12/01/2016 22:17:12",,,
"111486","False","25/03/2015 20:31:39","04/01/2016 12:10:54",,,
"126585","False","19/12/2014 14:28:21",,,,
"121904","False","29/07/2014 18:55:04","05/12/2016 07:35:31","F22 - Ivoti","EXPEDICAO F22","121904"
"120764","False","26/03/2015 18:29:50","03/01/2016 20:05:41",,,
"123008","False","30/07/2014 09:29:52","08/08/2014 10:50:17",,,
"129206","False","07/04/2015 11:26:52","12/02/2016 21:35:48",,,
"114407","False","16/04/2015 16:19:43","02/02/2016 18:16:19",,,
"123062","False","30/07/2014 08:53:09","04/08/2014 16:35:51",,,
"f22prot","False","18/03/2014 15:28:48","26/09/2014 10:45:51",,,
"118744","False","30/07/2014 08:19:36","05/02/2015 09:23:29",,,
"129372","False","15/05/2015 09:43:57","29/12/2016 13:03:39","F01 - Usina","1111131 - PCP INDUSTRIA","129372"
"122665","False","30/07/2014 08:13:17","04/08/2014 16:23:41",,,
"129802","False","19/05/2015 22:31:43","15/09/2015 18:35:26",,,
"121998","False","30/07/2014 08:05:05","06/12/2016 21:53:58","F22 - Ivoti","EXPEDICAO F22","121998"
"123295","False","29/07/2014 18:50:42","02/02/2015 06:20:04",,,
"113606","False","18/03/2015 09:08:44","13/12/2015 20:27:09",,,
"123675","False","18/03/2015 15:00:18",,,,
"127502","False","18/03/2015 16:26:51",,,,
"037777","False","18/03/2015 16:30:36","11/01/2017 20:38:58","F01 - Usina","1112202 - UHT SIG","122831"
"127984","False","18/03/2015 17:22:30",,,,
"127695","False","18/03/2015 17:34:35",,,,
"126064","False","18/03/2015 17:51:35",,,,
"121567","False","18/03/2015 17:58:37",,,,
"075676","False","31/07/2016 22:14:10","22/08/2016 13:24:43","F01 - Usina","1112221 - DOCE DE LEITE POTES","75676"
"132035","False","02/10/2015 11:54:17","22/12/2015 04:26:49",,,
"127994","False","18/03/2015 17:59:25",,,,
"128157","False","18/03/2015 18:14:00",,,,
"44574","False","16/12/2005 10:40:53",,,,
"128263","False","18/03/2015 18:19:23",,,,
"126500","False","18/03/2015 08:26:47","18/03/2015 18:50:14",,,
"128857","False","19/03/2015 10:25:25",,,,
"126224","False","18/03/2015 13:57:50","20/03/2015 13:54:05",,,
"074856","False","18/03/2015 14:43:33","04/06/2016 05:14:23",,,
"017424","False","18/03/2015 18:15:21","20/03/2015 14:17:10","F01 - Usina","1111111 - SUPERV LATIC NP","132940"
"090496","True","18/03/2015 19:14:00","01/08/2015 05:43:17","F01 - Usina","1111106 - RECEP LEITE NP","90496"
"140826","True","25/11/2016 09:39:07","16/01/2017 20:09:12","F01 - Usina","1114403 - EXPED REFRIGERADOS","140826"
"123460","True","18/03/2015 19:19:52","20/03/2015 14:45:23","F01 - Usina","1111106 - RECEP LEITE NP","123460"
"140837","True","25/11/2016 09:40:01","28/01/2017 00:20:58","F01 - Usina","1114403 - EXPED REFRIGERADOS","140837"
"140690","True","25/11/2016 09:40:31","13/01/2017 11:07:47","F01 - Usina","1114403 - EXPED REFRIGERADOS","140960"
"113984","True","18/03/2015 19:21:39","30/01/2017 05:42:53","F01 - Usina","1111112 - PASTEURIZACAO","113984"
"035862","True","18/03/2015 19:30:48","19/01/2017 20:54:59","F01 - Usina","1111112 - PASTEURIZACAO","35862"
"129624","True","04/11/2016 10:08:19","30/01/2017 20:02:33","F01 - Usina","1112212 - TETRA TOP ENVASE","129624"
"108364","True","18/03/2015 19:34:20","28/01/2017 20:12:15","F01 - Usina","1111112 - PASTEURIZACAO","108364"
"135628","True","02/03/2016 16:42:51","25/01/2017 21:32:04","F22 - Ivoti","1513303 - EXPEDICAO F22","135628"
"134743","True","04/11/2016 10:10:22","30/01/2017 20:30:43","F01 - Usina","1112212 - TETRA TOP ENVASE","134743"
"044340","True","18/03/2015 19:35:59","29/01/2017 23:42:52","F01 - Usina","1111113 - FERMENTACAO IOGURTES/BEB LACTEAS","44340"
"129228","True","30/07/2015 09:15:19","20/01/2017 15:19:24","F01 - Usina","1111105 - ALMOXARIFADO","129228"
"130657","True","13/08/2015 11:46:02","20/01/2017 19:02:20","F01 - Usina","1112212 - TETRA TOP ENVASE","130657"
"129165","True","30/07/2015 09:27:09","18/01/2017 16:22:24","F01 - Usina","1111105 - ALMOXARIFADO","129165"
"099184","True","18/03/2015 19:43:41","27/01/2017 21:30:58","F01 - Usina","1112205 - REQUEIJAO","99184"
"097728","True","18/03/2015 19:44:38","10/05/2016 21:16:18","F01 - Usina","1112207 - FERMENT BANDEJA TRAD","97728"
"127084","True","30/07/2015 09:20:40","27/01/2017 14:11:38","F01 - Usina","1111105 - ALMOXARIFADO","127084"
"020805","True","10/03/2015 10:04:22","19/01/2017 13:08:34","F01 - Usina","1111112 - PASTEURIZACAO","20805"
"132655","True","10/12/2015 15:26:35","16/01/2017 20:52:00","F01 - Usina","1112212 - TETRA TOP ENVASE","132655"
"124746","True","18/03/2015 18:47:26","23/01/2017 12:04:12","F01 - Usina","1111113 - FERMENTACAO IOGURTES/BEB LACTEAS","124746"
"116894","True","24/03/2016 17:23:25","16/12/2016 05:57:52","F01 - Usina","1111111 - SUPERV LATIC NP","116894"
"140981","True","29/11/2016 08:48:05","30/01/2017 15:31:59","F01 - Usina","1114403 - EXPED REFRIGERADOS","140981"
"127980","True","23/03/2015 20:13:04","14/07/2015 13:43:34","F01 - Usina","1111131 - PCP INDUSTRIA","127980"
"125347","True","30/07/2015 09:29:47","21/01/2017 21:54:36","F01 - Usina","1111105 - ALMOXARIFADO","125346"
"teste10","True","18/03/2015 16:26:59","21/11/2016 04:02:25",,"4115509 - TECNOL INFORMACAO",
"111192","True","23/03/2015 20:12:12",,"F01 - Usina","1111131 - PCP INDUSTRIA","111192"
"127559","True","24/03/2016 16:42:38","27/01/2017 04:35:48","F01 - Usina","1112205 - REQUEIJAO","127559"
"100002","True","18/03/2015 16:59:07","24/03/2015 05:33:46","F01 - Usina","1112202 - UHT SIG","100002"
"132507","True","04/01/2016 14:00:07","20/01/2017 11:45:01","F01 - Usina","1112202 - UHT SIG","132507"
"063871","True","23/03/2015 20:09:38","24/03/2015 08:37:27","F01 - Usina","1111131 - PCP INDUSTRIA","63871"
